x,y,rho
0.93164,0.017578,0.39967
0.93945,0.017578,0.382224
0.94727,0.017578,0.365356
0.95508,0.017578,0.349129
0.96289,0.017578,0.333609
0.9707,0.017578,0.31893
0.97852,0.017578,0.305383
0.98633,0.017578,0.293854
0.99414,0.017578,0.281563
0.0019531,0.025391,1
0.0097656,0.025391,1
0.017578,0.025391,1
0.025391,0.025391,1
0.033203,0.025391,1
0.041016,0.025391,1
0.048828,0.025391,1
0.056641,0.025391,1
0.064453,0.025391,1
0.072266,0.025391,1
0.080078,0.025391,1
0.087891,0.025391,1
0.095703,0.025391,1
0.10352,0.025391,1
0.11133,0.025391,1
0.11914,0.025391,1
0.12695,0.025391,1
0.13477,0.025391,1
0.14258,0.025391,1
0.15039,0.025391,1
0.1582,0.025391,1
0.16602,0.025391,1
0.17383,0.025391,1
0.18164,0.025391,1
0.18945,0.025391,1
0.19727,0.025391,1
0.20508,0.025391,1
0.21289,0.025391,1
0.2207,0.025391,1
0.22852,0.025391,1
0.23633,0.025391,1
0.24414,0.025391,1
0.25195,0.025391,1
0.25977,0.025391,1
0.26758,0.025391,1
0.27539,0.025391,1
0.2832,0.025391,1
0.29102,0.025391,1
0.29883,0.025391,1
0.30664,0.025391,1
0.31445,0.025391,1
0.32227,0.025391,1
0.33008,0.025391,1
0.33789,0.025391,1
0.3457,0.025391,1
0.35352,0.025391,1
0.36133,0.025391,1
0.36914,0.025391,1
0.37695,0.025391,1
0.38477,0.025391,1
0.39258,0.025391,1
0.40039,0.025391,1
0.4082,0.025391,1
0.41602,0.025391,1
0.42383,0.025391,1
